파일명,라벨,관절0_x,관절0_y,관절0_vis,관절1_x,관절1_y,관절1_vis,관절2_x,관절2_y,관절2_vis,관절3_x,관절3_y,관절3_vis,관절4_x,관절4_y,관절4_vis,관절5_x,관절5_y,관절5_vis,관절6_x,관절6_y,관절6_vis,관절7_x,관절7_y,관절7_vis,관절8_x,관절8_y,관절8_vis,관절9_x,관절9_y,관절9_vis,관절10_x,관절10_y,관절10_vis,관절11_x,관절11_y,관절11_vis,관절12_x,관절12_y,관절12_vis,관절13_x,관절13_y,관절13_vis,관절14_x,관절14_y,관절14_vis,관절15_x,관절15_y,관절15_vis,관절16_x,관절16_y,관절16_vis,관절17_x,관절17_y,관절17_vis,관절18_x,관절18_y,관절18_vis,관절19_x,관절19_y,관절19_vis,관절20_x,관절20_y,관절20_vis,관절21_x,관절21_y,관절21_vis,관절22_x,관절22_y,관절22_vis,관절23_x,관절23_y,관절23_vis,관절24_x,관절24_y,관절24_vis,관절25_x,관절25_y,관절25_vis,관절26_x,관절26_y,관절26_vis,관절27_x,관절27_y,관절27_vis,관절28_x,관절28_y,관절28_vis,관절29_x,관절29_y,관절29_vis,관절30_x,관절30_y,관절30_vis,관절31_x,관절31_y,관절31_vis,관절32_x,관절32_y,관절32_vis
posture(592)_jpg.rf.ivpJIabZtf6aknBsOjRt.jpg,good,0.440138,0.183766,0.999447,0.423901,0.164312,0.999113,0.421513,0.164494,0.999094,0.418227,0.164596,0.99943,0.418561,0.165657,0.999116,0.412768,0.166808,0.998962,0.405843,0.168305,0.99915,0.381051,0.184558,0.99944,0.368009,0.192041,0.998767,0.434951,0.212628,0.998875,0.426422,0.214534,0.99897,0.344193,0.30099,0.999227,0.32162,0.320425,0.999054,0.488384,0.406167,0.302693,0.507532,0.44733,0.979358,0.679347,0.422876,0.452392,0.7242,0.440671,0.958381,0.709133,0.414758,0.452037,0.770843,0.439683,0.926492,0.724191,0.410302,0.471029,0.766658,0.423138,0.923512,0.707782,0.41315,0.460815,0.748119,0.42502,0.897292,0.358467,0.633016,0.992981,0.350159,0.670786,0.993179,0.589344,0.634205,0.172159,0.656481,0.705881,0.83133,0.548191,0.84116,0.147551,0.523907,0.890925,0.654629,0.50975,0.869193,0.21998,0.482953,0.916502,0.662298,0.620849,0.889484,0.195427,0.628914,0.933499,0.630054
istockphoto-527344921-612x612 - Copy (2)_jpg.rf.e9sw4PBLSJ8NRWnIiaiI.jpg,good,0.644316,0.306899,0.999727,0.654396,0.293012,0.999787,0.657976,0.2926,0.99977,0.662096,0.292118,0.999864,0.65078,0.292522,0.999751,0.651763,0.291791,0.999686,0.652907,0.290953,0.999819,0.690511,0.295366,0.999734,0.679974,0.293086,0.999771,0.657261,0.318978,0.999732,0.652148,0.318628,0.999298,0.734099,0.376437,0.999922,0.71806,0.368269,0.998327,0.629492,0.468627,0.988376,0.648609,0.454844,0.053246,0.470668,0.491104,0.979028,0.567864,0.510513,0.045025,0.430518,0.495437,0.969797,0.557328,0.519218,0.058153,0.425514,0.489271,0.969044,0.551837,0.514937,0.056035,0.441127,0.489223,0.950842,0.554917,0.512442,0.056278,0.711222,0.564978,0.999613,0.693147,0.554735,0.998913,0.474729,0.595899,0.959401,0.484513,0.595674,0.408395,0.481811,0.765392,0.977071,0.495459,0.751927,0.474809,0.509117,0.787355,0.96148,0.524167,0.767092,0.544975,0.378816,0.804596,0.968515,0.43944,0.795164,0.53871
posture(541)_jpg.rf.3xm0AVSwMVag0Aro6Xc4.jpg,bad,0.392269,0.219824,0.999851,0.389538,0.190226,0.999892,0.393965,0.18648,0.999887,0.399523,0.182093,0.999911,0.384459,0.194121,0.999909,0.385111,0.193392,0.999912,0.386394,0.192256,0.99993,0.441924,0.163398,0.999881,0.42599,0.17536,0.999906,0.422846,0.229898,0.999845,0.416563,0.234281,0.999736,0.591081,0.227626,0.999841,0.524159,0.276575,0.997016,0.645812,0.447889,0.943841,0.512147,0.471297,0.035835,0.445058,0.419372,0.877786,0.413778,0.423268,0.057509,0.387644,0.431241,0.783452,0.365684,0.42672,0.070826,0.376293,0.399397,0.775835,0.352594,0.412912,0.063349,0.393149,0.393029,0.744278,0.373318,0.411328,0.067096,0.687558,0.572696,0.998356,0.619877,0.569522,0.997216,0.299305,0.59346,0.970004,0.28601,0.577926,0.189291,0.32234,0.889769,0.924468,0.309506,0.872258,0.132134,0.359712,0.944193,0.86701,0.34028,0.920593,0.160954,0.204779,1.009556,0.888439,0.210282,0.991984,0.169952
posture(134)_jpg.rf.zHtHT0t2rPyViro5e9co.jpg,bad,0.430073,0.34557,0.999853,0.438559,0.321645,0.99989,0.443625,0.320401,0.999886,0.449111,0.318845,0.999927,0.433343,0.321649,0.999899,0.434044,0.320768,0.999884,0.43523,0.319631,0.999897,0.484748,0.321276,0.99981,0.472389,0.32088,0.999859,0.450937,0.364139,0.999821,0.444248,0.365774,0.999745,0.562077,0.407851,0.999729,0.51998,0.421021,0.997917,0.4952,0.54964,0.961,0.493843,0.553336,0.014141,0.299137,0.528636,0.918593,0.439386,0.597178,0.013428,0.247765,0.522718,0.894698,0.432093,0.60222,0.022832,0.242983,0.50972,0.887703,0.427166,0.590921,0.021411,0.257042,0.513485,0.864028,0.429197,0.588684,0.023184,0.655669,0.628904,0.999274,0.620542,0.625822,0.997875,0.379337,0.656342,0.960276,0.349534,0.681414,0.268941,0.283385,0.89343,0.954118,0.26047,0.904383,0.352987,0.277978,0.950359,0.932368,0.279234,0.947417,0.395956,0.157188,0.929304,0.92778,0.164394,0.934075,0.381886
d6a87d374f2a1d615f59eed5b6b38df4 - Copy_jpg.rf.mtkBdjM8FXUyoMbzm527.jpg,bad,0.674326,0.286311,0.999843,0.664944,0.262476,0.99993,0.663694,0.261785,0.999926,0.66136,0.260801,0.999949,0.655802,0.261843,0.99988,0.64824,0.261028,0.999853,0.639256,0.260049,0.999897,0.614834,0.264334,0.999954,0.59286,0.26435,0.999835,0.663645,0.306896,0.999874,0.652426,0.304355,0.999885,0.514144,0.349022,0.999579,0.519429,0.355821,0.999869,0.532427,0.490403,0.063078,0.559363,0.547343,0.97546,0.666331,0.452643,0.233427,0.754517,0.473513,0.944316,0.692889,0.441043,0.281353,0.814109,0.466639,0.907638,0.70787,0.432929,0.270314,0.808891,0.447691,0.902704,0.687112,0.437692,0.247468,0.779312,0.444937,0.897087,0.413646,0.587796,0.999723,0.420644,0.605708,0.999713,0.772903,0.603507,0.344328,0.828628,0.626444,0.957782,0.7231,0.82021,0.449598,0.836131,0.862085,0.956143,0.636087,0.834764,0.488603,0.799096,0.902551,0.944103,0.827061,0.882439,0.505153,0.966349,0.902964,0.933779
posture(130)_jpg.rf.5FE9PrYaPRGelRd8CLm0.jpg,bad,0.621605,0.355189,0.999801,0.619018,0.332407,0.999939,0.617505,0.331535,0.99993,0.615801,0.330589,0.999949,0.615758,0.330417,0.99992,0.612291,0.328462,0.999894,0.608091,0.326131,0.999934,0.58508,0.325827,0.999945,0.581184,0.322644,0.999929,0.605235,0.367929,0.99983,0.60157,0.365837,0.999887,0.508198,0.402747,0.999504,0.503632,0.392238,0.999949,0.487435,0.546068,0.027916,0.48057,0.547065,0.868087,0.568933,0.608875,0.028106,0.582008,0.596782,0.517639,0.590489,0.622864,0.033605,0.612341,0.612422,0.457386,0.605924,0.618216,0.033591,0.618151,0.602705,0.454657,0.591161,0.610986,0.036426,0.605493,0.597233,0.435544,0.435028,0.606715,0.999324,0.430409,0.610506,0.99956,0.674447,0.682773,0.231676,0.689896,0.652212,0.928173,0.754459,0.858556,0.233779,0.76044,0.874161,0.86911,0.734313,0.902062,0.293508,0.73992,0.916449,0.839162,0.842905,0.885635,0.29217,0.854842,0.903935,0.823553
ffa92358d37ea94935100c11ffe145126 - Copy_jpg.rf.riNF6PvKhRrd9OmSMU5q.jpg,good,0.347592,0.195288,0.999964,0.333067,0.177593,0.999969,0.331509,0.177402,0.999955,0.329498,0.177279,0.999973,0.326981,0.178953,0.999964,0.320852,0.179658,0.999941,0.314388,0.18037,0.999967,0.297389,0.18964,0.999972,0.276608,0.193856,0.999963,0.341626,0.219468,0.999968,0.333657,0.220702,0.999986,0.249259,0.315596,0.999795,0.241487,0.320625,0.99998,0.324692,0.481033,0.123188,0.313121,0.511218,0.992471,0.473936,0.493541,0.2206,0.53279,0.524208,0.949943,0.532048,0.511776,0.258192,0.584343,0.546566,0.916985,0.535158,0.489385,0.262762,0.597758,0.520419,0.922503,0.516898,0.48607,0.262615,0.576489,0.509031,0.92481,0.320912,0.597436,0.997913,0.305847,0.619024,0.999097,0.631482,0.570914,0.21209,0.687122,0.619953,0.944058,0.671537,0.787053,0.24198,0.71574,0.870864,0.942973,0.634399,0.823448,0.350303,0.680068,0.90557,0.923027,0.779122,0.852001,0.294578,0.827775,0.913044,0.910771
posture(496)_jpg.rf.BFG36bBAsEflveutz1F4.jpg,good,0.506475,0.159271,0.997304,0.503031,0.138921,0.99549,0.501383,0.137716,0.995048,0.498997,0.136288,0.997281,0.498733,0.13796,0.996719,0.493835,0.135944,0.996279,0.488793,0.133741,0.997061,0.460043,0.131872,0.997509,0.456459,0.13106,0.995588,0.491318,0.176839,0.994101,0.4862,0.175197,0.996215,0.397938,0.232041,0.998919,0.393683,0.24082,0.999175,0.488793,0.346259,0.124033,0.489413,0.369383,0.963517,0.598037,0.377582,0.194774,0.637801,0.375424,0.947657,0.634725,0.377012,0.269995,0.681047,0.380488,0.935057,0.638237,0.36869,0.286896,0.675682,0.368185,0.933902,0.636609,0.381443,0.29225,0.660831,0.367691,0.898152,0.380401,0.483917,0.992448,0.378451,0.504193,0.99183,0.564749,0.528763,0.087225,0.608674,0.547349,0.890098,0.444365,0.661445,0.134528,0.458312,0.69496,0.854606,0.405205,0.670645,0.265057,0.418599,0.702118,0.902543,0.471215,0.721218,0.211647,0.507304,0.7469,0.80429
posture(177)_jpg.rf.COgywNqRRxmyRHx1yn42.jpg,good,0.438999,0.340923,0.986555,0.452735,0.317551,0.990459,0.457861,0.316462,0.990349,0.463601,0.315586,0.992575,0.447484,0.318382,0.98984,0.449798,0.317398,0.990341,0.451999,0.316547,0.99448,0.497253,0.324205,0.987234,0.487146,0.32284,0.996315,0.453408,0.362423,0.993779,0.449019,0.362216,0.987669,0.516095,0.423223,0.99808,0.553826,0.411734,0.992017,0.386394,0.547208,0.978581,0.496813,0.530338,0.037019,0.218537,0.555068,0.959123,0.374341,0.58364,0.042167,0.172235,0.550897,0.94681,0.356132,0.577965,0.06973,0.167877,0.538436,0.946256,0.343337,0.572945,0.068076,0.180845,0.539549,0.925649,0.34854,0.578374,0.077241,0.530945,0.675785,0.995627,0.575357,0.657789,0.982735,0.311665,0.687265,0.885564,0.374701,0.710577,0.1576,0.318346,0.907898,0.816177,0.377356,0.897522,0.183101,0.343318,0.943597,0.801207,0.403023,0.930018,0.29631,0.214082,0.935106,0.663761,0.311168,0.932272,0.232809
posture(369)_jpg.rf.6hyLlZaihfi85nEYmkuh.jpg,good,0.617341,0.275575,0.999294,0.621625,0.261859,0.999537,0.623765,0.261052,0.999478,0.626031,0.260108,0.999632,0.620583,0.261984,0.999514,0.621749,0.261412,0.999439,0.623113,0.26059,0.999669,0.643952,0.260879,0.999514,0.641248,0.260362,0.99937,0.627646,0.286573,0.999488,0.625781,0.28683,0.999112,0.664451,0.326719,0.999694,0.672162,0.328965,0.999328,0.646938,0.435331,0.918855,0.655092,0.426998,0.058895,0.575571,0.430031,0.6918,0.581086,0.427191,0.078264,0.555201,0.432543,0.646167,0.561157,0.428281,0.107416,0.552719,0.421726,0.650958,0.556904,0.419518,0.112442,0.561993,0.420642,0.564133,0.564195,0.418755,0.117416,0.670317,0.511335,0.999468,0.679245,0.505328,0.998833,0.54398,0.550047,0.981191,0.569312,0.546085,0.496534,0.566587,0.698041,0.99514,0.639107,0.653739,0.713603,0.579717,0.718721,0.988054,0.659739,0.665609,0.756022,0.511674,0.725099,0.992965,0.609611,0.689165,0.76821
