epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2779,1.43684,3.21405,1.60517,0.00458,0.66667,0.08878,0.04816,1.13795,3.41851,1.30434,0.0005,0.0005,0.0955
2,20.0739,1.33961,3.13479,1.58455,0.0046,0.66667,0.13859,0.08894,0.94396,3.29223,1.16154,0.00108911,0.00108911,0.0900891
3,28.2305,1.00962,2.97106,1.36284,0.00817,0.77778,0.26646,0.16859,0.78963,3.17588,1.06979,0.00166634,0.00166634,0.0846663
4,36.322,0.98317,2.80979,1.35418,0.00454,0.66667,0.34748,0.21911,0.81347,3.13337,1.035,0.00223169,0.00223169,0.0792317
5,44.5047,0.95183,2.62281,1.28276,0.00784,0.88889,0.42445,0.25828,0.83212,3.02137,1.06215,0.00278516,0.00278516,0.0737852
6,52.4954,0.86445,2.23327,1.23244,0.92512,0.42558,0.52024,0.35266,0.74096,2.74482,0.99972,0.00332675,0.00332675,0.0683268
7,60.55,0.90742,2.00132,1.25775,0.99122,0.30323,0.4928,0.36576,0.88028,2.58168,1.13346,0.00385646,0.00385646,0.0628565
8,68.6159,0.91834,1.92159,1.23492,1,0.23967,0.49766,0.36005,0.84149,2.65133,1.1208,0.00437429,0.00437429,0.0573743
9,76.6799,0.90089,1.67028,1.195,0.9481,0.30761,0.5503,0.40597,0.82409,2.49177,1.0438,0.00488024,0.00488024,0.0518802
10,84.5982,0.90118,1.62547,1.25384,1,0.30521,0.51241,0.36516,1.03285,2.61115,1.25671,0.00537431,0.00537431,0.0463743
11,92.6648,0.90432,1.50727,1.22993,0.88121,0.4,0.5807,0.44064,0.8993,2.24299,1.09734,0.0058565,0.0058565,0.0408565
12,100.502,0.91694,1.5199,1.22967,0.92171,0.45886,0.63585,0.47402,0.84218,2.26693,1.12365,0.00632681,0.00632681,0.0353268
13,108.424,0.90812,1.49675,1.23221,0.91349,0.45102,0.59857,0.41576,0.97574,2.537,1.26616,0.00678524,0.00678524,0.0297852
14,116.434,0.81019,1.37193,1.14724,0.90026,0.41893,0.64659,0.44212,1.0757,2.54665,1.34095,0.00723179,0.00723179,0.0242318
15,124.431,0.85113,1.33238,1.17193,0.98565,0.47678,0.78456,0.56801,0.81621,2.06402,1.05748,0.00766646,0.00766646,0.0186665
16,132.297,0.88172,1.33886,1.2311,0.83573,0.48986,0.55361,0.41181,0.88615,2.12708,1.10346,0.00808925,0.00808925,0.0130892
17,140.259,0.8616,1.33385,1.17456,0.94109,0.45677,0.65995,0.51362,0.87663,1.87651,1.08548,0.008416,0.008416,0.008416
18,148.163,0.94918,1.49359,1.24527,0.96771,0.67778,0.71311,0.54333,0.94183,1.97962,1.15116,0.008317,0.008317,0.008317
19,156.09,0.80242,1.27764,1.12977,0.73354,0.67778,0.6851,0.47192,0.95439,1.97692,1.21253,0.008218,0.008218,0.008218
20,164.015,0.84389,1.2263,1.12246,0.84561,0.44921,0.61206,0.4537,1.00427,2.24764,1.26841,0.008119,0.008119,0.008119
21,171.901,0.80925,1.17483,1.139,0.89736,0.47076,0.6075,0.44601,1.10062,2.20138,1.35258,0.00802,0.00802,0.00802
22,179.805,0.85348,1.30913,1.2015,0.82321,0.61111,0.63049,0.48549,1.00413,2.1254,1.29339,0.007921,0.007921,0.007921
23,187.743,0.84235,1.27206,1.17192,0.76194,0.71132,0.74926,0.54083,0.91145,2.0544,1.16101,0.007822,0.007822,0.007822
24,195.729,0.8195,1.11283,1.12473,0.85042,0.61111,0.68403,0.47126,1.08115,1.98832,1.33077,0.007723,0.007723,0.007723
25,203.654,0.83866,1.19169,1.13828,0.74337,0.61111,0.71546,0.46842,1.08865,1.94722,1.35938,0.007624,0.007624,0.007624
26,211.562,0.8233,1.14766,1.15147,0.78775,0.62984,0.75107,0.50018,1.05954,2.00047,1.36345,0.007525,0.007525,0.007525
27,219.387,0.81991,1.10159,1.13578,0.90525,0.73017,0.83308,0.54904,1.01426,1.63713,1.23373,0.007426,0.007426,0.007426
28,227.348,0.77179,1.12898,1.16431,0.91303,0.75169,0.85458,0.54997,1.02959,1.76017,1.31813,0.007327,0.007327,0.007327
29,235.302,0.82405,1.15086,1.14666,0.93869,0.74188,0.84243,0.56711,0.96304,1.59055,1.25596,0.007228,0.007228,0.007228
30,243.22,0.81471,1.13359,1.12781,0.83448,0.61044,0.7523,0.53376,1.02678,1.81507,1.29607,0.007129,0.007129,0.007129
31,251.117,0.80391,1.07288,1.15492,0.87831,0.50213,0.69193,0.51868,0.99569,1.83224,1.27475,0.00703,0.00703,0.00703
32,259.058,0.76724,1.03158,1.12563,0.88742,0.75329,0.84944,0.61355,0.96546,1.42609,1.25813,0.006931,0.006931,0.006931
