epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.54319,1.44026,3.24396,1.59879,0.00453,0.66667,0.09159,0.04664,1.1048,3.40739,1.3034,0.0005,0.0005,0.0955
2,16.7015,1.3456,3.16665,1.54369,0.00448,0.66667,0.12389,0.06977,1.04959,3.27017,1.21645,0.00108901,0.00108901,0.090089
3,24.7337,1.16145,3.00033,1.43852,0.00457,0.66667,0.1875,0.12554,0.87347,3.22317,1.1201,0.00166603,0.00166603,0.084666
4,33.0147,1.00998,2.87611,1.37866,0.00458,0.66667,0.3383,0.20472,0.85875,3.16342,1.07964,0.00223107,0.00223107,0.0792311
5,41.0331,0.98236,2.69881,1.31492,0.00454,0.66667,0.36627,0.23461,0.85318,3.0965,1.04441,0.00278412,0.00278412,0.0737841
6,49.1305,0.91571,2.43536,1.29579,0.00621,0.77778,0.40083,0.27265,0.88575,2.99589,1.12188,0.00332518,0.00332518,0.0683252
7,57.1666,0.96939,2.1946,1.30416,0.7979,0.24496,0.40966,0.31964,0.90028,2.59286,1.11896,0.00385425,0.00385425,0.0628542
8,65.0999,0.87179,1.77538,1.20257,0.8622,0.39495,0.52267,0.3926,0.99919,2.45164,1.22819,0.00437133,0.00437133,0.0573713
9,73.0649,0.88697,1.70004,1.21642,0.88957,0.33333,0.4978,0.34819,1.14693,2.53121,1.30048,0.00487642,0.00487642,0.0518764
10,80.9358,0.96116,1.68559,1.25825,0.94897,0.33834,0.52905,0.41224,0.87349,2.48186,1.0494,0.00536953,0.00536953,0.0463695
11,88.8237,0.8698,1.53648,1.20038,0.9782,0.39964,0.59124,0.46161,0.77425,2.33133,0.99336,0.00585065,0.00585065,0.0408507
12,96.6074,0.88661,1.5253,1.21126,0.93887,0.40715,0.54499,0.40039,0.97745,2.39357,1.16641,0.00631978,0.00631978,0.0353198
13,104.436,0.87695,1.50434,1.2015,0.82033,0.41233,0.64842,0.4223,0.91787,2.42371,1.11129,0.00677692,0.00677692,0.0297769
14,112.297,0.88313,1.40666,1.20971,0.82732,0.47347,0.66293,0.49161,0.83529,2.24796,1.12458,0.00722208,0.00722208,0.0242221
