epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9921,1.15018,3.09652,1.41636,0.00467,0.66667,0.31832,0.20427,0.57227,3.03527,0.90852,0.0017,0.0017,0.0847
2,57.0343,0.95883,2.54449,1.25496,0.95803,0.08073,0.5118,0.40988,0.64335,2.62061,0.99216,0.00346535,0.00346535,0.0684654
3,83.9113,0.88286,1.7307,1.20246,1,0.19743,0.6549,0.50307,0.83893,2.52167,1.1757,0.00519506,0.00519506,0.0521951
4,110.38,0.9072,1.51234,1.20676,0.91381,0.38725,0.49736,0.36793,0.89332,2.60513,1.2182,0.00688913,0.00688913,0.0358891
5,137.196,0.8916,1.38583,1.19167,0.89434,0.57514,0.81119,0.6102,0.79614,1.98633,0.99967,0.00854756,0.00854756,0.0195476
6,163.834,0.92645,1.32246,1.1874,0.88669,0.59511,0.81008,0.55925,1.08785,2.0612,1.31939,0.009505,0.009505,0.009505
7,190.342,0.91316,1.2557,1.17034,0.85016,0.49728,0.74145,0.48792,1.11153,1.87495,1.31152,0.009406,0.009406,0.009406
8,216.936,0.90694,1.2138,1.17838,0.68751,0.65879,0.77924,0.57144,1.14884,1.88156,1.39848,0.009307,0.009307,0.009307
9,243.5,0.92017,1.21181,1.18983,0.69346,0.60006,0.71882,0.51509,1.271,2.48616,1.43321,0.009208,0.009208,0.009208
10,270.194,0.91023,1.19297,1.19965,0.71761,0.71757,0.75938,0.54698,0.86287,1.6795,1.12564,0.009109,0.009109,0.009109
11,296.985,0.88598,1.15425,1.17769,0.89665,0.82176,0.88572,0.67889,0.80846,1.29268,1.07723,0.00901,0.00901,0.00901
12,323.726,0.86582,1.06634,1.153,0.92794,0.75133,0.83181,0.65644,0.72468,1.35109,0.98855,0.008911,0.008911,0.008911
13,350.241,0.84913,1.08398,1.16856,0.90774,0.79826,0.8779,0.67729,0.75739,1.27613,0.97072,0.008812,0.008812,0.008812
14,376.835,0.85295,1.02655,1.14433,0.92299,0.78833,0.88303,0.68137,0.80295,1.32468,0.97987,0.008713,0.008713,0.008713
15,403.487,0.85343,1.00704,1.15743,0.87693,0.75756,0.86649,0.6923,0.71448,1.17104,0.95025,0.008614,0.008614,0.008614
16,430.083,0.82566,0.97113,1.13321,0.93931,0.76834,0.85143,0.66489,0.76827,1.26973,1.05836,0.008515,0.008515,0.008515
17,456.726,0.80466,0.97127,1.12849,0.90642,0.84018,0.91302,0.72216,0.62013,1.02025,0.91255,0.008416,0.008416,0.008416
18,483.282,0.81687,0.94534,1.1421,0.97497,0.71672,0.8386,0.6526,0.80727,1.43175,1.04914,0.008317,0.008317,0.008317
