epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5626,1.21574,3.14019,1.46238,0.00914,0.8254,0.26971,0.17128,0.57772,3.07345,0.92043,0.0017,0.0017,0.0847
2,54.2708,0.94966,2.63314,1.27107,1,0.1144,0.443,0.35644,0.62666,2.68658,0.92531,0.00346503,0.00346503,0.068465
3,101.487,0.91145,1.8948,1.24357,1,0.19088,0.63546,0.49642,0.7501,2.59597,0.99989,0.00519411,0.00519411,0.0521941
4,148.381,0.90382,1.4908,1.21032,0.89191,0.46801,0.74122,0.59679,0.69729,2.21457,0.98728,0.00688721,0.00688721,0.0358872
5,175.973,0.92206,1.43417,1.22879,0.88452,0.58274,0.75821,0.54717,0.75478,2.02478,0.98722,0.00854436,0.00854436,0.0195444
6,201.794,0.94338,1.37741,1.21544,0.75903,0.69099,0.8224,0.59444,0.91988,1.92368,1.18136,0.0095005,0.0095005,0.0095005
7,227.708,0.93242,1.31579,1.19491,0.92489,0.66424,0.75367,0.56948,0.79246,1.52464,1.04833,0.0094006,0.0094006,0.0094006
8,253.802,0.91665,1.29163,1.20139,0.75171,0.6739,0.7289,0.53485,0.80685,1.75032,1.06688,0.0093007,0.0093007,0.0093007
9,279.839,0.9142,1.2082,1.19842,0.79511,0.50941,0.64013,0.42977,1.05756,2.11643,1.34159,0.0092008,0.0092008,0.0092008
10,309.32,0.90348,1.16817,1.17116,0.80143,0.6461,0.79526,0.57786,1.01961,1.78119,1.21243,0.0091009,0.0091009,0.0091009
11,345.822,0.90574,1.22147,1.19772,0.80506,0.66454,0.76047,0.56599,0.97177,1.72451,1.16921,0.009001,0.009001,0.009001
12,383.385,0.8916,1.154,1.17039,0.93281,0.74992,0.87603,0.66561,0.90989,1.51482,1.14057,0.0089011,0.0089011,0.0089011
13,432.98,0.88162,1.08006,1.14693,0.815,0.76608,0.83443,0.66656,0.8676,1.6607,1.09038,0.0088012,0.0088012,0.0088012
14,479.902,0.88047,1.07848,1.18703,0.88544,0.74406,0.87309,0.68563,0.83851,1.39286,1.09758,0.0087013,0.0087013,0.0087013
15,526.928,0.84456,0.98981,1.15119,0.90292,0.85224,0.90532,0.68162,0.90318,1.20597,1.15166,0.0086014,0.0086014,0.0086014
16,574.516,0.86727,1.00697,1.15652,0.94267,0.82117,0.89767,0.69939,0.78383,1.16054,1.08838,0.0085015,0.0085015,0.0085015
17,620.642,0.82707,0.98541,1.13498,0.9296,0.85545,0.92883,0.75833,0.61722,1.02429,0.90903,0.0084016,0.0084016,0.0084016
18,667.274,0.8223,0.94548,1.11785,0.96323,0.8477,0.91945,0.73816,0.65939,1.00219,0.92273,0.0083017,0.0083017,0.0083017
19,705.929,0.80726,0.91347,1.12918,0.94684,0.8807,0.93477,0.76368,0.63202,0.96551,0.89533,0.0082018,0.0082018,0.0082018
20,752.476,0.82083,0.89535,1.13506,0.96038,0.87272,0.909,0.73185,0.74153,1.02385,1.03291,0.0081019,0.0081019,0.0081019
21,799.95,0.76334,0.83662,1.08841,0.9157,0.8834,0.90341,0.73762,0.66285,1.03206,0.95805,0.008002,0.008002,0.008002
22,847.347,0.80348,0.85094,1.11898,0.95777,0.87501,0.912,0.73667,0.66904,1.06758,0.94219,0.0079021,0.0079021,0.0079021
23,894.542,0.7711,0.85851,1.09942,0.96859,0.8544,0.90956,0.73593,0.59024,0.91514,0.88728,0.0078022,0.0078022,0.0078022
24,941.522,0.77961,0.82473,1.09742,0.97119,0.86092,0.91913,0.75488,0.61822,0.91847,0.88084,0.0077023,0.0077023,0.0077023
25,987.92,0.77087,0.85017,1.12333,0.91221,0.80914,0.88477,0.70509,0.79322,1.2181,1.09645,0.0076024,0.0076024,0.0076024
26,1034.48,0.7397,0.82021,1.08624,0.96726,0.86994,0.92374,0.74358,0.70499,0.97382,0.93906,0.0075025,0.0075025,0.0075025
27,1081.33,0.74667,0.80332,1.0937,0.93203,0.78723,0.83133,0.66755,0.7926,1.16919,1.0335,0.0074026,0.0074026,0.0074026
28,1128.77,0.74571,0.80269,1.08534,0.95021,0.79764,0.8997,0.71929,0.74284,0.95564,0.9678,0.0073027,0.0073027,0.0073027
29,1168.61,0.75929,0.82704,1.08773,0.92858,0.84348,0.90728,0.73658,0.59447,0.90424,0.88331,0.0072028,0.0072028,0.0072028
30,1215.6,0.73883,0.79136,1.08907,0.96641,0.88648,0.92575,0.77254,0.61597,0.82271,0.90381,0.0071029,0.0071029,0.0071029
31,1262.74,0.71124,0.76671,1.07127,0.95635,0.89574,0.94629,0.79031,0.612,0.65012,0.90819,0.007003,0.007003,0.007003
32,1309.43,0.71406,0.73597,1.07311,0.95189,0.83479,0.90023,0.76819,0.6645,0.84667,0.94027,0.0069031,0.0069031,0.0069031
33,1355.63,0.71484,0.72625,1.06551,0.93906,0.88538,0.92655,0.77674,0.6521,0.73361,0.91744,0.0068032,0.0068032,0.0068032
34,1400.93,0.74146,0.75527,1.08484,0.97178,0.85452,0.93914,0.78187,0.59987,0.64354,0.87252,0.0067033,0.0067033,0.0067033
35,1444.83,0.70694,0.69631,1.07213,0.95663,0.8608,0.92696,0.77316,0.6408,0.71045,0.90178,0.0066034,0.0066034,0.0066034
36,1495.4,0.72912,0.70635,1.07095,0.93557,0.87566,0.92891,0.77664,0.62435,0.72125,0.89568,0.0065035,0.0065035,0.0065035
37,1545.34,0.70087,0.68367,1.06303,0.92175,0.91924,0.94452,0.77784,0.63686,0.64507,0.89674,0.0064036,0.0064036,0.0064036
38,1593.46,0.67255,0.6537,1.04671,0.95478,0.91878,0.94367,0.78914,0.57113,0.58878,0.85947,0.0063037,0.0063037,0.0063037
39,1641.25,0.69781,0.70362,1.06191,0.95602,0.88041,0.94507,0.79049,0.56771,0.70597,0.85533,0.0062038,0.0062038,0.0062038
40,1688.72,0.69157,0.6807,1.05255,0.96043,0.905,0.96387,0.79793,0.57714,0.6247,0.8682,0.0061039,0.0061039,0.0061039
41,1735.55,0.67706,0.64725,1.05306,0.98233,0.88579,0.95114,0.81223,0.52805,0.6912,0.84321,0.006004,0.006004,0.006004
42,1782.08,0.68126,0.65159,1.05083,0.98138,0.8779,0.93671,0.78488,0.60807,0.91248,0.8976,0.0059041,0.0059041,0.0059041
43,1829.17,0.67455,0.64682,1.0392,0.96546,0.88318,0.95995,0.80911,0.59312,0.67237,0.86654,0.0058042,0.0058042,0.0058042
44,1876.39,0.66814,0.67548,1.06016,0.97635,0.89942,0.94633,0.79406,0.60704,0.60939,0.85656,0.0057043,0.0057043,0.0057043
45,1923.68,0.6602,0.64762,1.03908,0.99387,0.9148,0.95938,0.80071,0.5772,0.54469,0.86338,0.0056044,0.0056044,0.0056044
46,1971.04,0.66608,0.64119,1.04331,0.97314,0.90554,0.95779,0.79905,0.57562,0.59929,0.87004,0.0055045,0.0055045,0.0055045
47,2017.13,0.64282,0.6046,1.03629,0.99237,0.88909,0.95812,0.8108,0.62318,0.60511,0.89023,0.0054046,0.0054046,0.0054046
48,2063.83,0.66395,0.61305,1.04498,0.97377,0.9035,0.95753,0.81307,0.52604,0.59476,0.82872,0.0053047,0.0053047,0.0053047
49,2110.34,0.63934,0.58836,1.05279,0.95116,0.89676,0.95367,0.78612,0.61875,0.69247,0.87643,0.0052048,0.0052048,0.0052048
50,2156.71,0.64888,0.60745,1.03716,0.99681,0.88274,0.96495,0.81242,0.56259,0.62048,0.8641,0.0051049,0.0051049,0.0051049
51,2203.29,0.59643,0.57272,1.01767,0.97542,0.88464,0.96421,0.78494,0.5763,0.66002,0.85998,0.005005,0.005005,0.005005
52,2250.25,0.6207,0.60317,1.03317,0.95726,0.88648,0.96855,0.78991,0.58072,0.71476,0.85934,0.0049051,0.0049051,0.0049051
53,2297.5,0.61112,0.59495,1.03013,0.92544,0.90668,0.95903,0.79219,0.59266,0.7864,0.8594,0.0048052,0.0048052,0.0048052
54,2344.69,0.6188,0.56698,1.0308,0.97482,0.89992,0.95979,0.80466,0.54008,0.58988,0.83674,0.0047053,0.0047053,0.0047053
55,2392.02,0.6062,0.56695,1.01124,0.99802,0.89082,0.96473,0.80275,0.57193,0.56629,0.85414,0.0046054,0.0046054,0.0046054
56,2438.44,0.57795,0.54044,0.99964,0.98103,0.91589,0.96663,0.79818,0.5385,0.66527,0.84363,0.0045055,0.0045055,0.0045055
57,2485.03,0.5851,0.54753,1.00298,0.98149,0.9148,0.97069,0.80159,0.55551,0.60594,0.85827,0.0044056,0.0044056,0.0044056
58,2531.6,0.59949,0.57357,1.00792,0.97136,0.89635,0.9529,0.79624,0.51634,0.61413,0.83131,0.0043057,0.0043057,0.0043057
59,2578.84,0.58601,0.54136,1.00785,0.97488,0.90597,0.95589,0.79173,0.50832,0.68664,0.83376,0.0042058,0.0042058,0.0042058
60,2625.73,0.57774,0.52956,1.00274,0.97599,0.9148,0.94242,0.78633,0.58149,0.7424,0.85764,0.0041059,0.0041059,0.0041059
61,2671.57,0.55338,0.5118,0.98872,0.98648,0.9148,0.94814,0.79093,0.57961,0.66068,0.85806,0.004006,0.004006,0.004006
62,2715.22,0.61153,0.56246,1.02341,0.98336,0.91087,0.9586,0.79366,0.56817,0.71013,0.87415,0.0039061,0.0039061,0.0039061
63,2746.63,0.58063,0.52958,1.00168,0.98579,0.90559,0.96324,0.80324,0.51691,0.75009,0.82882,0.0038062,0.0038062,0.0038062
64,2772.93,0.55566,0.51517,0.99061,0.96033,0.91786,0.96129,0.80665,0.53966,0.68331,0.83807,0.0037063,0.0037063,0.0037063
65,2798.9,0.56754,0.51228,1.00491,0.93828,0.94454,0.97351,0.81499,0.54309,0.61914,0.83038,0.0036064,0.0036064,0.0036064
66,2824.97,0.56505,0.51229,0.98251,0.97781,0.89686,0.97191,0.80938,0.58336,0.62069,0.83704,0.0035065,0.0035065,0.0035065
67,2851.45,0.58218,0.50996,0.99618,0.97634,0.92108,0.97214,0.81904,0.55307,0.54318,0.82557,0.0034066,0.0034066,0.0034066
68,2883.5,0.55014,0.50052,1.01094,0.96093,0.92901,0.96734,0.81755,0.59497,0.58815,0.87064,0.0033067,0.0033067,0.0033067
69,2911.97,0.55994,0.49508,1.00395,0.94503,0.92884,0.96988,0.82179,0.5475,0.54771,0.84525,0.0032068,0.0032068,0.0032068
70,2938.42,0.55095,0.51268,1.00907,0.95827,0.93245,0.97188,0.82057,0.57649,0.5858,0.86688,0.0031069,0.0031069,0.0031069
71,2964.43,0.54208,0.47386,0.98575,0.9549,0.93555,0.97386,0.81887,0.58321,0.56665,0.85484,0.003007,0.003007,0.003007
72,2990.72,0.53804,0.47228,0.979,0.96471,0.91966,0.96681,0.83029,0.51268,0.54136,0.81758,0.0029071,0.0029071,0.0029071
73,3025.17,0.52883,0.46839,0.97061,0.95212,0.9346,0.97047,0.82322,0.53868,0.54659,0.8194,0.0028072,0.0028072,0.0028072
74,3072.65,0.52498,0.47509,0.97452,0.98305,0.90554,0.96725,0.83755,0.50221,0.56692,0.80781,0.0027073,0.0027073,0.0027073
75,3119.85,0.54232,0.48836,0.99321,0.98539,0.88379,0.95918,0.82062,0.58198,0.63251,0.84438,0.0026074,0.0026074,0.0026074
76,3166.33,0.51451,0.45974,0.96816,0.98156,0.90554,0.97636,0.8281,0.51015,0.51413,0.82033,0.0025075,0.0025075,0.0025075
77,3212.55,0.53036,0.46787,0.97319,0.98109,0.90484,0.97832,0.8134,0.50543,0.4834,0.81437,0.0024076,0.0024076,0.0024076
78,3240.84,0.51639,0.46125,0.96122,0.98483,0.90127,0.98084,0.81535,0.51993,0.52588,0.82113,0.0023077,0.0023077,0.0023077
79,3267.31,0.52318,0.46263,0.97444,0.96787,0.91293,0.98112,0.83063,0.51603,0.59092,0.82727,0.0022078,0.0022078,0.0022078
80,3296.45,0.5044,0.45934,0.97904,0.98334,0.9067,0.97683,0.81697,0.49174,0.64419,0.8164,0.0021079,0.0021079,0.0021079
81,3343.09,0.50567,0.45706,0.97343,0.98201,0.90496,0.96931,0.81689,0.52427,0.79108,0.83575,0.002008,0.002008,0.002008
82,3390.61,0.5011,0.42496,0.96601,0.99789,0.89731,0.97382,0.81211,0.48812,0.6668,0.81185,0.0019081,0.0019081,0.0019081
83,3438.31,0.5144,0.44946,0.96705,0.96209,0.9246,0.9636,0.80724,0.50498,0.64305,0.81109,0.0018082,0.0018082,0.0018082
84,3485.22,0.50144,0.44572,0.96267,0.97671,0.91416,0.97082,0.81325,0.50052,0.61249,0.81984,0.0017083,0.0017083,0.0017083
85,3531.77,0.51219,0.44868,0.97699,0.98331,0.89729,0.96648,0.8203,0.51336,0.60829,0.8143,0.0016084,0.0016084,0.0016084
86,3575.26,0.48287,0.45303,0.97003,0.95784,0.9246,0.97889,0.8192,0.53503,0.55701,0.84191,0.0015085,0.0015085,0.0015085
