epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5847,1.25108,3.17856,1.49809,0.00685,0.7037,0.25875,0.18445,0.65487,3.1457,0.94814,0.0012,0.0012,0.0892
2,53.1146,0.91782,2.78084,1.26107,0.01212,0.74074,0.4112,0.31916,0.60206,2.97907,0.90531,0.00247525,0.00247525,0.0774752
3,79.035,0.85939,2.17858,1.20742,0.982,0.38616,0.60051,0.50318,0.6539,2.5126,0.93051,0.00372476,0.00372476,0.0657248
4,113.002,0.85029,1.5758,1.18686,1,0.24001,0.67782,0.53473,0.7691,2.59208,1.02887,0.00494853,0.00494853,0.0539485
5,145.028,0.78574,1.41303,1.1354,0.94211,0.48077,0.61887,0.48362,0.81923,2.51057,1.10887,0.00614656,0.00614656,0.0421466
6,166.879,0.7612,1.25275,1.10552,0.94866,0.58006,0.86125,0.70895,0.70065,2.10947,0.95861,0.00731885,0.00731885,0.0303188
7,185.426,0.8383,1.26828,1.15525,0.95849,0.58761,0.88811,0.72069,0.67411,1.88931,0.93548,0.0084654,0.0084654,0.0184654
8,217.044,0.83007,1.18367,1.14793,0.90774,0.58239,0.88018,0.63757,0.85305,1.99472,1.12097,0.009307,0.009307,0.009307
9,249.91,0.8505,1.18997,1.13759,0.91281,0.6138,0.86488,0.67332,0.85138,1.86368,1.14778,0.009208,0.009208,0.009208
10,282.532,0.8325,1.1144,1.12287,0.88893,0.74686,0.90827,0.66556,0.84306,1.56562,1.12888,0.009109,0.009109,0.009109
11,315.31,0.81761,1.13116,1.133,0.88255,0.45192,0.53561,0.38306,1.17742,2.26939,1.50773,0.00901,0.00901,0.00901
12,348.05,0.75524,1.08889,1.09305,0.93871,0.71353,0.83256,0.65498,0.83505,1.45884,1.14756,0.008911,0.008911,0.008911
13,378.566,0.80449,1.00397,1.1097,0.85955,0.76709,0.82709,0.65975,0.7636,1.46881,1.0918,0.008812,0.008812,0.008812
14,411.734,0.77848,0.97576,1.08332,0.99327,0.82713,0.93985,0.75558,0.71803,1.06266,1.01996,0.008713,0.008713,0.008713
15,430.853,0.79605,1.06865,1.14025,0.88991,0.81902,0.90376,0.69082,0.77968,1.21816,1.05906,0.008614,0.008614,0.008614
